sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-901182-0311-G1a	B08HYZSPNL	44.99	0																					
SXM-901182-0311-G1y	B0821347YS	47.99	0																					
SXM-901182-0312-G1	B08HYZJRDZ	48.99	0																					
SXM-901182-0312-G1y	B08211SSPL	48.99	0																					
SXM-901182-0313-G1	B08HYZ5FCY	65.99	0																					
SXM-901182-0313-G1y	B081ZZKTQC	65.99	0																					
SXM-901182-0314-G1	B08HZ1YQL5	67.99	0																					
SXM-901182-0314-G1y	B08211YY7L	67.99	0																					
SXM-901182-0317e-G1y	B08213DL1X	79.99	0																					
SXM-901182-0321a	B087TPM8Z3	50.99	0																					
SXM-901182-0321b	B084FHGLZ3	50.99	0																					
SXM-901182-0321m	B08ZSLZ748	80.99	0																					
SXM-901182-0321y	B08MJJHNLD	50.99	0																					
SXM-901182-0322a	B087THLYV9	95.99	0																					
SXM-901182-0322b	B084FHTWSL	95.99	0																					
SXM-901182-0322m	B08ZS8RBYN	130.99	0																					
SXM-901182-0322y	B08MJ5JRNN	95.99	0																					
SXM-901182-0323a	B087TNFXV9	50.99	0																					
SXM-901182-0323b	B084FHWJX4	50.99	0																					
SXM-901182-0323m	B08ZSJ46YG	80.99	0																					
SXM-901182-0323y	B08MJGD7HR	50.99	0																					
SXM-901182-0324a	B087TQRZPP	95.99	0																					
SXM-901182-0324b	B084FHWNRT	95.99	0																					
SXM-901182-0324m	B084FHWNRT	130.99	0																					
SXM-901182-0324y	B08MJC6NKQ	95.99	0																					
SXM-901182-0330-G1	B08MJ1WMCF	16.99	0																					
SXM-901182-0330-G1a	B08MHV5W87	15.99	0																					
SXM-901182-0331-G1	B08MJMBJTQ	16.99	0																					
