sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-4562-G2	B089RMQNQZ	49.99	97																					false
SXM-4563 4564-G1	B089RMHFS8	68.99	100																					
SXM-4563-G1	B089RMH3K1	37.89	98																					false
SXM-4563-G2	B089RLTY4B	62.99	99																					false
SXM-4564-G1	B089RMRFLT	42.89	98																					false
SXM-4564-G2	B089RM6NNF	74.99	100																					false
SXM-4565 4566-G1	B089RL2B82	61.89	50																					false
SXM-4565-G1	B089RLS1NL	36.89	48																					false
SXM-4565-G2	B089RLRSMB	56.89	49																					false
SXM-4566 4567-G1	B089RM6K73	71.89	99																					false
SXM-4566-G1	B089RLRYYB	40.89	100																					false
SXM-4566-G2	B089RMX1RK	66.89	100																					false
SXM-4567-G1	B089RLJ1DW	45.89	99																					false
SXM-4567-G2	B089RM8WFH	84.99	100																					false
SXM-4568 4569-G1	B089RMX6TH	70.99	80																					false
SXM-4568-G1	B089RM5Z8Y	38.89	80																					false
SXM-4568-G2	B089RMKJYV	61.89	76																					false
SXM-4569 4570-G1	B089RMN655	87.99	100																					false
SXM-4569-G1	B089RMND89	44.99	79																					false
SXM-4569-G2	B089RM1YBF	78.99	78																					false
SXM-4570-G1	B089RM5Z8Z	53.99	88																					false
SXM-4570-G2	B089RNRVB3	95.99	99																					false
SXM-4571 4572-G1	B089RLXKGJ	77.99	100																					false
SXM-4571-G1	B089RM3YDW	39.99	99																					false
SXM-4571-G2	B089RMR3DK	68.99	97																					
SXM-4572 4573-G1	B089RMBLNW	96.99	100																					false
SXM-4572-G1	B089RLV4K8	49.99	100																					false
SXM-4572-G2	B089RMJ5P1	87.99	100																					false
SXM-4573-G1	B089RM1YBD	60.99	99																					false
SXM-4573-G2	B089RLQ95R	108.99	100																					false
SXM-4574 4575-G1	B089RLJFZW	39.09	98																					false
SXM-4574-G1	B089RL2B83	26.99	96																					
SXM-4574-G2	B089RMM49R	36.19	90																					false
SXM-4575 4576-G1z	B089RL1WCZ	46.99	100																					false
SXM-4575-G1	B089RML51S	27.99	88																					false
SXM-4575-G2	B089RL3LLL	43.39	94																					
SXM-4576-G1	B089RMQ4JW	32.99	87																					
SXM-4576-G2	B089RLRDHV	51.09	93																					false
SXM-4578 4579-G1	B089RM65NM	50.99	42																					false
SXM-4578-G1	B089RMKRKD	30.99	89																					
SXM-4578-G2	B089RMG8QW	46.99	8																					
SXM-4579-G1	B089RMSFX6	33.99	21																					
SXM-4583 4584-G1	B089RMPBQ1	59.09	97																					
SXM-4583-G1	B089RM95GX	35.99	88																					false
SXM-4583-G2	B089RN281M	57.99	97																					false
SXM-4584 4585-G1	B089RM8ZN5	72.99	99																					false
SXM-4584-G1	B089RLFTX3	39.99	95																					false
SXM-4584-G2	B089RM8LF3	67.99	100																					false
SXM-4585-G1	B089RM7LRW	42.99	89																					false
SXM-4585-G2	B089RM4835	79.99	96																					
SXM-4589-G1z	B089RM1YSG	44.99	98																					false
SXM-4589-G2z	B089RLHY2J	71.99	99																					false
SXM-4591-G1	B089RM1GFS	61.99	97																					false
SXM-4591-G2	B089RMQ65Z	99.99	91																					
SXM-4616 4617-G1z	B089RLWBG1	37.99	28																					
SXM-4616-G1	B089RLX5S2	22.99	49																					
SXM-4616-G2z	B089RLTV3H	33.99	28																					
SXM-4617 4618-G1z	B089RLLFQM	46.99	29																					
SXM-4617-G1z	B089RLY7J3	24.99	50																					
SXM-4617-G2z	B089RM8N3C	41.99	30																					
